f,size,time,BLAS,pinning
cholesky,5000,0.256169876,OpenBLAS,highAI
cholesky,10000,1.381567723,OpenBLAS,highAI
cholesky,50000,59.133293665,OpenBLAS,highAI
*,5000,0.463119711,OpenBLAS,highAI
*,10000,1.442209782,OpenBLAS,highAI
*,50000,136.271387645,OpenBLAS,highAI
eigen,1000,1.112352126,OpenBLAS,highAI
eigen,5000,39.493300908,OpenBLAS,highAI
eigen,10000,275.473249263,OpenBLAS,highAI
svd,1000,0.346944436,OpenBLAS,highAI
svd,5000,31.814955063,OpenBLAS,highAI
svd,10000,172.416763527,OpenBLAS,highAI
cholesky,5000,0.237714684,OpenBLAS,highMB
cholesky,10000,1.305557123,OpenBLAS,highMB
cholesky,50000,56.162413573,OpenBLAS,highMB
*,5000,0.472082447,OpenBLAS,highMB
*,10000,1.494176221,OpenBLAS,highMB
*,50000,137.453948525,OpenBLAS,highMB
eigen,1000,1.121726378,OpenBLAS,highMB
eigen,5000,35.458625557,OpenBLAS,highMB
eigen,10000,247.985766039,OpenBLAS,highMB
svd,1000,0.357353981,OpenBLAS,highMB
svd,5000,24.357887588,OpenBLAS,highMB
svd,10000,223.170048067,OpenBLAS,highMB
cholesky,5000,0.258921992,MKL,highAI
cholesky,10000,1.145833168,MKL,highAI
cholesky,50000,85.189082277,MKL,highAI
*,5000,0.210804988,MKL,highAI
*,10000,1.38572835,MKL,highAI
*,50000,138.404135294,MKL,highAI
eigen,1000,0.80446784,MKL,highAI
eigen,5000,43.318580171,MKL,highAI
eigen,10000,255.254840272,MKL,highAI
svd,1000,0.16511252,MKL,highAI
svd,5000,6.585232567,MKL,highAI
svd,10000,103.627785365,MKL,highAI
cholesky,5000,0.234762962,MKL,highMB
cholesky,10000,1.165535395,MKL,highMB
cholesky,50000,80.034967206,MKL,highMB
*,5000,0.207753413,MKL,highMB
*,10000,1.379248863,MKL,highMB
*,50000,139.862255313,MKL,highMB
eigen,1000,0.794758797,MKL,highMB
eigen,5000,43.533956908,MKL,highMB
eigen,10000,256.059467066,MKL,highMB
svd,1000,0.168726402,MKL,highMB
svd,5000,6.634562715,MKL,highMB
svd,10000,65.845772174,MKL,highMB
cholesky,5000,0.230287641,MKL faked,highAI
cholesky,10000,1.186369844,MKL faked,highAI
cholesky,50000,80.880315709,MKL faked,highAI
*,5000,0.209818385,MKL faked,highAI
*,10000,1.38669465,MKL faked,highAI
*,50000,140.601807192,MKL faked,highAI
eigen,1000,0.799109829,MKL faked,highAI
eigen,5000,46.317231343,MKL faked,highAI
eigen,10000,272.171164088,MKL faked,highAI
svd,1000,0.166191469,MKL faked,highAI
svd,5000,6.773927835,MKL faked,highAI
svd,10000,93.19771459,MKL faked,highAI
cholesky,5000,0.23916257,MKL faked,highMB
cholesky,10000,1.163166745,MKL faked,highMB
cholesky,50000,81.836776444,MKL faked,highMB
*,5000,0.215013991,MKL faked,highMB
*,10000,1.383303003,MKL faked,highMB
*,50000,141.334387947,MKL faked,highMB
eigen,1000,0.80310174,MKL faked,highMB
eigen,5000,45.310784343,MKL faked,highMB
eigen,10000,289.517536292,MKL faked,highMB
svd,1000,0.162445737,MKL faked,highMB
svd,5000,6.680050258,MKL faked,highMB
svd,10000,137.360639167,MKL faked,highMB
