f,size,time,BLAS,pinning
cholesky,5000,0.391017143,OpenBLAS,highAI
cholesky,10000,2.334128536,OpenBLAS,highAI
cholesky,50000,81.66044885,OpenBLAS,highAI
*,5000,0.809384026,OpenBLAS,highAI
*,10000,2.581739477,OpenBLAS,highAI
*,50000,114.499413655,OpenBLAS,highAI
eigen,1000,2.44663877,OpenBLAS,highAI
eigen,5000,61.726358053,OpenBLAS,highAI
eigen,10000,446.830246072,OpenBLAS,highAI
svd,1000,0.739184753,OpenBLAS,highAI
svd,5000,48.757725781,OpenBLAS,highAI
svd,10000,537.664710591,OpenBLAS,highAI
cholesky,5000,0.379351793,OpenBLAS,highMB
cholesky,10000,2.374701771,OpenBLAS,highMB
cholesky,50000,72.315131607,OpenBLAS,highMB
*,5000,0.824859541,OpenBLAS,highMB
*,10000,2.226951253,OpenBLAS,highMB
*,50000,109.617472383,OpenBLAS,highMB
eigen,1000,1.956087402,OpenBLAS,highMB
eigen,5000,61.975601831,OpenBLAS,highMB
eigen,10000,463.783012134,OpenBLAS,highMB
svd,1000,0.760564418,OpenBLAS,highMB
svd,5000,42.9997616,OpenBLAS,highMB
svd,10000,434.9336897,OpenBLAS,highMB
cholesky,5000,0.381045798,MKL,highAI
cholesky,10000,1.859498945,MKL,highAI
cholesky,50000,72.73736112,MKL,highAI
*,5000,0.40523408,MKL,highAI
*,10000,1.368373718,MKL,highAI
*,50000,103.299997641,MKL,highAI
eigen,1000,1.41475116,MKL,highAI
eigen,5000,75.163126865,MKL,highAI
eigen,10000,408.663988433,MKL,highAI
svd,1000,0.640504936,MKL,highAI
svd,5000,17.296631202,MKL,highAI
svd,10000,126.792319102,MKL,highAI
cholesky,5000,0.414671373,MKL,highMB
cholesky,10000,2.04085106,MKL,highMB
cholesky,50000,78.516816016,MKL,highMB
*,5000,0.390989504,MKL,highMB
*,10000,1.446339131,MKL,highMB
*,50000,85.91696383,MKL,highMB
eigen,1000,1.38962277,MKL,highMB
eigen,5000,84.696039138,MKL,highMB
eigen,10000,397.621321866,MKL,highMB
svd,1000,0.387018103,MKL,highMB
svd,5000,16.875960677,MKL,highMB
svd,10000,109.067918296,MKL,highMB
cholesky,5000,0.392595101,MKL faked,highAI
cholesky,10000,1.84679001,MKL faked,highAI
cholesky,50000,76.427432885,MKL faked,highAI
*,5000,0.369871524,MKL faked,highAI
*,10000,1.545700017,MKL faked,highAI
*,50000,82.892583062,MKL faked,highAI
eigen,1000,1.238554591,MKL faked,highAI
eigen,5000,75.34424409,MKL faked,highAI
eigen,10000,384.166182431,MKL faked,highAI
svd,1000,0.345376441,MKL faked,highAI
svd,5000,17.448838558,MKL faked,highAI
svd,10000,118.45046237,MKL faked,highAI
cholesky,5000,0.429837008,MKL faked,highMB
cholesky,10000,1.98297026,MKL faked,highMB
cholesky,50000,62.809018711,MKL faked,highMB
*,5000,0.364909197,MKL faked,highMB
*,10000,1.369953134,MKL faked,highMB
*,50000,99.936610004,MKL faked,highMB
eigen,1000,1.525672764,MKL faked,highMB
eigen,5000,70.138221873,MKL faked,highMB
eigen,10000,358.141766961,MKL faked,highMB
svd,1000,0.342742994,MKL faked,highMB
svd,5000,15.879246611,MKL faked,highMB
svd,10000,135.882238005,MKL faked,highMB
