f,size,time,BLAS,pinning
cholesky,5000,0.187957928,OpenBLAS,highAI
cholesky,10000,1.010175114,OpenBLAS,highAI
cholesky,50000,57.603582372,OpenBLAS,highAI
*,5000,0.362924581,OpenBLAS,highAI
*,10000,1.247439102,OpenBLAS,highAI
*,50000,130.552911395,OpenBLAS,highAI
eigen,1000,0.839815822,OpenBLAS,highAI
eigen,5000,27.355716118,OpenBLAS,highAI
eigen,10000,235.610565792,OpenBLAS,highAI
svd,1000,0.254924612,OpenBLAS,highAI
svd,5000,22.022836391,OpenBLAS,highAI
svd,10000,264.425561515,OpenBLAS,highAI
cholesky,5000,0.186007091,OpenBLAS,highMB
cholesky,10000,0.99166527,OpenBLAS,highMB
cholesky,50000,58.871538828,OpenBLAS,highMB
*,5000,0.369188299,OpenBLAS,highMB
*,10000,1.254451496,OpenBLAS,highMB
*,50000,129.651008642,OpenBLAS,highMB
eigen,1000,0.840911987,OpenBLAS,highMB
eigen,5000,27.152976778,OpenBLAS,highMB
eigen,10000,235.082827228,OpenBLAS,highMB
svd,1000,0.257048099,OpenBLAS,highMB
svd,5000,22.514044125,OpenBLAS,highMB
svd,10000,263.537109073,OpenBLAS,highMB
cholesky,5000,0.18212064,MKL,highAI
cholesky,10000,0.841705375,MKL,highAI
cholesky,50000,59.896912567,MKL,highAI
*,5000,0.160679059,MKL,highAI
*,10000,1.232832527,MKL,highAI
*,50000,191.6277516,MKL,highAI
eigen,1000,0.638572195,MKL,highAI
eigen,5000,31.932108448,MKL,highAI
eigen,10000,202.700987708,MKL,highAI
svd,1000,0.122550868,MKL,highAI
svd,5000,4.357898968,MKL,highAI
svd,10000,106.000970816,MKL,highAI
cholesky,5000,0.189470701,MKL,highMB
cholesky,10000,0.876113964,MKL,highMB
cholesky,50000,59.255946812,MKL,highMB
*,5000,0.162279852,MKL,highMB
*,10000,1.237560907,MKL,highMB
*,50000,191.147604947,MKL,highMB
eigen,1000,0.648560994,MKL,highMB
eigen,5000,32.336679159,MKL,highMB
eigen,10000,203.552154274,MKL,highMB
svd,1000,0.122077474,MKL,highMB
svd,5000,4.398882201,MKL,highMB
svd,10000,106.711371364,MKL,highMB
cholesky,5000,0.186160142,MKL faked,highAI
cholesky,10000,0.870897407,MKL faked,highAI
cholesky,50000,59.582420115,MKL faked,highAI
*,5000,0.16352301,MKL faked,highAI
*,10000,1.23686714,MKL faked,highAI
*,50000,190.481499499,MKL faked,highAI
eigen,1000,0.641157912,MKL faked,highAI
eigen,5000,31.927885746,MKL faked,highAI
eigen,10000,202.455038638,MKL faked,highAI
svd,1000,0.121564529,MKL faked,highAI
svd,5000,4.33568079,MKL faked,highAI
svd,10000,106.115045262,MKL faked,highAI
cholesky,5000,0.192154962,MKL faked,highMB
cholesky,10000,0.888305173,MKL faked,highMB
cholesky,50000,59.05110033,MKL faked,highMB
*,5000,0.161065774,MKL faked,highMB
*,10000,1.238797613,MKL faked,highMB
*,50000,191.281312001,MKL faked,highMB
eigen,1000,0.641179953,MKL faked,highMB
eigen,5000,31.715682377,MKL faked,highMB
eigen,10000,203.952178926,MKL faked,highMB
svd,1000,0.122662232,MKL faked,highMB
svd,5000,4.347596642,MKL faked,highMB
svd,10000,106.588767172,MKL faked,highMB
