f,size,time,BLAS,pinning
cholesky,5000,0.312618965,OpenBLAS,highAI
cholesky,10000,1.690533133,OpenBLAS,highAI
cholesky,50000,61.242789973,OpenBLAS,highAI
*,5000,0.542934366,OpenBLAS,highAI
*,10000,1.577260363,OpenBLAS,highAI
*,50000,68.52270286,OpenBLAS,highAI
eigen,1000,1.540831924,OpenBLAS,highAI
eigen,5000,44.95069633,OpenBLAS,highAI
eigen,10000,383.408922282,OpenBLAS,highAI
svd,1000,0.52401583,OpenBLAS,highAI
svd,5000,34.579953582,OpenBLAS,highAI
svd,10000,548.9988509,OpenBLAS,highAI
cholesky,5000,0.321611946,OpenBLAS,highMB
cholesky,10000,1.780001028,OpenBLAS,highMB
cholesky,50000,61.06544724,OpenBLAS,highMB
*,5000,0.523121442,OpenBLAS,highMB
*,10000,1.693219719,OpenBLAS,highMB
*,50000,118.603952231,OpenBLAS,highMB
eigen,1000,1.67833226,OpenBLAS,highMB
eigen,5000,44.74073022,OpenBLAS,highMB
eigen,10000,379.789067957,OpenBLAS,highMB
svd,1000,0.563391145,OpenBLAS,highMB
svd,5000,34.036261406,OpenBLAS,highMB
svd,10000,541.597766042,OpenBLAS,highMB
cholesky,5000,0.372101023,MKL,highAI
cholesky,10000,1.429721137,MKL,highAI
cholesky,50000,61.050961766,MKL,highAI
*,5000,0.260803795,MKL,highAI
*,10000,1.285022766,MKL,highAI
*,50000,89.916405625,MKL,highAI
eigen,1000,0.836600294,MKL,highAI
eigen,5000,50.220390859,MKL,highAI
eigen,10000,278.174189334,MKL,highAI
svd,1000,0.240423297,MKL,highAI
svd,5000,11.700277929,MKL,highAI
svd,10000,119.251622515,MKL,highAI
cholesky,5000,0.350543548,MKL,highMB
cholesky,10000,1.415614922,MKL,highMB
cholesky,50000,61.228002733,MKL,highMB
*,5000,0.230066012,MKL,highMB
*,10000,1.188027458,MKL,highMB
*,50000,87.813690389,MKL,highMB
eigen,1000,0.813808322,MKL,highMB
eigen,5000,51.736293808,MKL,highMB
eigen,10000,284.866626111,MKL,highMB
svd,1000,0.225685275,MKL,highMB
svd,5000,13.08404487,MKL,highMB
svd,10000,116.736737626,MKL,highMB
cholesky,5000,0.363119373,MKL faked,highAI
cholesky,10000,1.432012505,MKL faked,highAI
cholesky,50000,55.237187102,MKL faked,highAI
*,5000,0.238575547,MKL faked,highAI
*,10000,1.222960779,MKL faked,highAI
*,50000,88.515188418,MKL faked,highAI
eigen,1000,0.842053384,MKL faked,highAI
eigen,5000,49.982561921,MKL faked,highAI
eigen,10000,275.910724696,MKL faked,highAI
svd,1000,0.237040384,MKL faked,highAI
svd,5000,12.172363235,MKL faked,highAI
svd,10000,113.720094711,MKL faked,highAI
cholesky,5000,0.35993421,MKL faked,highMB
cholesky,10000,1.443541228,MKL faked,highMB
cholesky,50000,60.091865816,MKL faked,highMB
*,5000,0.243925368,MKL faked,highMB
*,10000,1.236446035,MKL faked,highMB
*,50000,81.428626064,MKL faked,highMB
eigen,1000,0.834664363,MKL faked,highMB
eigen,5000,53.471447157,MKL faked,highMB
eigen,10000,279.173504875,MKL faked,highMB
svd,1000,0.2386639,MKL faked,highMB
svd,5000,12.521631322,MKL faked,highMB
svd,10000,124.179621378,MKL faked,highMB
