f,size,time,BLAS,pinning
cholesky,5000,0.17390611,OpenBLAS,highAI
cholesky,10000,0.930563253,OpenBLAS,highAI
cholesky,50000,51.230678693,OpenBLAS,highAI
*,5000,0.346925124,OpenBLAS,highAI
*,10000,1.612487666,OpenBLAS,highAI
*,50000,145.860214569,OpenBLAS,highAI
eigen,1000,1.910512617,OpenBLAS,highAI
eigen,5000,34.745258501,OpenBLAS,highAI
eigen,10000,262.913886549,OpenBLAS,highAI
svd,1000,0.512719034,OpenBLAS,highAI
svd,5000,24.084606325,OpenBLAS,highAI
svd,10000,263.532212211,OpenBLAS,highAI
cholesky,5000,0.147096996,OpenBLAS,highMB
cholesky,10000,0.864391042,OpenBLAS,highMB
cholesky,50000,49.071289453,OpenBLAS,highMB
*,5000,0.379951533,OpenBLAS,highMB
*,10000,1.388357802,OpenBLAS,highMB
*,50000,128.175943915,OpenBLAS,highMB
eigen,1000,0.910030925,OpenBLAS,highMB
eigen,5000,26.037985028,OpenBLAS,highMB
eigen,10000,217.686394943,OpenBLAS,highMB
svd,1000,0.274450569,OpenBLAS,highMB
svd,5000,20.381604588,OpenBLAS,highMB
svd,10000,262.408014081,OpenBLAS,highMB
cholesky,5000,0.111180761,MKL,highAI
cholesky,10000,0.824329119,MKL,highAI
cholesky,50000,92.453506231,MKL,highAI
*,5000,0.298458883,MKL,highAI
*,10000,2.092458168,MKL,highAI
*,50000,226.613668046,MKL,highAI
eigen,1000,0.799199416,MKL,highAI
eigen,5000,33.469076089,MKL,highAI
eigen,10000,209.863651956,MKL,highAI
svd,1000,0.135358397,MKL,highAI
svd,5000,8.448155067,MKL,highAI
svd,10000,149.65619335,MKL,highAI
cholesky,5000,0.157317429,MKL,highMB
cholesky,10000,0.663534729,MKL,highMB
cholesky,50000,65.029042607,MKL,highMB
*,5000,0.164745502,MKL,highMB
*,10000,1.290910133,MKL,highMB
*,50000,143.709425366,MKL,highMB
eigen,1000,0.646729767,MKL,highMB
eigen,5000,31.484637335,MKL,highMB
eigen,10000,198.030982875,MKL,highMB
svd,1000,0.12821217,MKL,highMB
svd,5000,3.970293618,MKL,highMB
svd,10000,108.946152959,MKL,highMB
cholesky,5000,0.118297105,MKL faked,highAI
cholesky,10000,0.811795128,MKL faked,highAI
cholesky,50000,92.933705533,MKL faked,highAI
*,5000,0.300607878,MKL faked,highAI
*,10000,2.109028344,MKL faked,highAI
*,50000,227.855799218,MKL faked,highAI
eigen,1000,0.804300334,MKL faked,highAI
eigen,5000,33.459195062,MKL faked,highAI
eigen,10000,209.97410173,MKL faked,highAI
svd,1000,0.137348742,MKL faked,highAI
svd,5000,8.397462319,MKL faked,highAI
svd,10000,149.53634834,MKL faked,highAI
cholesky,5000,0.161626165,MKL faked,highMB
cholesky,10000,0.65564519,MKL faked,highMB
cholesky,50000,62.952860115,MKL faked,highMB
*,5000,0.16184278,MKL faked,highMB
*,10000,1.279712242,MKL faked,highMB
*,50000,144.382263068,MKL faked,highMB
eigen,1000,0.644501037,MKL faked,highMB
eigen,5000,31.376418316,MKL faked,highMB
eigen,10000,198.066792852,MKL faked,highMB
svd,1000,0.130131877,MKL faked,highMB
svd,5000,3.961604439,MKL faked,highMB
svd,10000,111.415634362,MKL faked,highMB
