f,size,time,BLAS,pinning
cholesky,5000,0.171053223,OpenBLAS,highAI
cholesky,10000,0.790669395,OpenBLAS,highAI
cholesky,50000,60.007635416,OpenBLAS,highAI
*,5000,0.305239168,OpenBLAS,highAI
*,10000,1.731299464,OpenBLAS,highAI
*,50000,153.819299836,OpenBLAS,highAI
eigen,1000,1.925848268,OpenBLAS,highAI
eigen,5000,37.404353143,OpenBLAS,highAI
eigen,10000,303.745880803,OpenBLAS,highAI
svd,1000,0.532714375,OpenBLAS,highAI
svd,5000,25.621483538,OpenBLAS,highAI
svd,10000,223.720585894,OpenBLAS,highAI
cholesky,5000,0.151257505,OpenBLAS,highMB
cholesky,10000,0.832091223,OpenBLAS,highMB
cholesky,50000,51.639392324,OpenBLAS,highMB
*,5000,0.342197721,OpenBLAS,highMB
*,10000,1.389525742,OpenBLAS,highMB
*,50000,132.1774833,OpenBLAS,highMB
eigen,1000,0.903187066,OpenBLAS,highMB
eigen,5000,26.009375887,OpenBLAS,highMB
eigen,10000,222.255502143,OpenBLAS,highMB
svd,1000,0.277863106,OpenBLAS,highMB
svd,5000,19.940596957,OpenBLAS,highMB
svd,10000,175.016023914,OpenBLAS,highMB
cholesky,5000,0.111372839,MKL,highAI
cholesky,10000,0.767813639,MKL,highAI
cholesky,50000,92.580503655,MKL,highAI
*,5000,0.307175036,MKL,highAI
*,10000,2.122890909,MKL,highAI
*,50000,223.592520591,MKL,highAI
eigen,1000,0.809792804,MKL,highAI
eigen,5000,33.446965664,MKL,highAI
eigen,10000,209.819597347,MKL,highAI
svd,1000,0.136458602,MKL,highAI
svd,5000,8.349024054,MKL,highAI
svd,10000,149.28062114,MKL,highAI
cholesky,5000,0.156231065,MKL,highMB
cholesky,10000,0.685188886,MKL,highMB
cholesky,50000,63.372513818,MKL,highMB
*,5000,0.163119992,MKL,highMB
*,10000,1.284034904,MKL,highMB
*,50000,144.160510486,MKL,highMB
eigen,1000,0.649493377,MKL,highMB
eigen,5000,31.483840018,MKL,highMB
eigen,10000,195.110535736,MKL,highMB
svd,1000,0.128164674,MKL,highMB
svd,5000,3.937580005,MKL,highMB
svd,10000,111.497681331,MKL,highMB
cholesky,5000,0.112588853,MKL faked,highAI
cholesky,10000,0.79929925,MKL faked,highAI
cholesky,50000,79.924170659,MKL faked,highAI
*,5000,0.301023474,MKL faked,highAI
*,10000,2.130625004,MKL faked,highAI
*,50000,223.274924496,MKL faked,highAI
eigen,1000,0.797185037,MKL faked,highAI
eigen,5000,33.508444855,MKL faked,highAI
eigen,10000,209.034494845,MKL faked,highAI
svd,1000,0.136320797,MKL faked,highAI
svd,5000,8.335535489,MKL faked,highAI
svd,10000,149.260126793,MKL faked,highAI
cholesky,5000,0.151689487,MKL faked,highMB
cholesky,10000,0.637770426,MKL faked,highMB
cholesky,50000,65.42040296,MKL faked,highMB
*,5000,0.169566257,MKL faked,highMB
*,10000,1.282062934,MKL faked,highMB
*,50000,144.194201462,MKL faked,highMB
eigen,1000,0.651251964,MKL faked,highMB
eigen,5000,31.405730139,MKL faked,highMB
eigen,10000,198.674586187,MKL faked,highMB
svd,1000,0.130279716,MKL faked,highMB
svd,5000,3.984079544,MKL faked,highMB
svd,10000,112.313893834,MKL faked,highMB
