f,size,time,BLAS,pinning
svd,10,2.644e-5,OpenBLAS,highAI
svd,50,0.000755229,OpenBLAS,highAI
svd,100,0.002818325,OpenBLAS,highAI
*,50,1.4171e-5,OpenBLAS,highAI
*,100,0.000135582,OpenBLAS,highAI
*,500,0.0103681,OpenBLAS,highAI
eigen,10,2.7941e-5,OpenBLAS,highAI
eigen,50,0.000690009,OpenBLAS,highAI
eigen,100,0.008306564,OpenBLAS,highAI
cholesky,50,2.3721e-5,OpenBLAS,highAI
cholesky,100,6.9121e-5,OpenBLAS,highAI
cholesky,500,0.001991945,OpenBLAS,highAI
svd,10,1.6651e-5,MKL,highAI
svd,50,0.000527406,MKL,highAI
svd,100,0.001903154,MKL,highAI
*,50,2.856e-5,MKL,highAI
*,100,5.5261e-5,MKL,highAI
*,500,0.00083032,MKL,highAI
eigen,10,2.482e-5,MKL,highAI
eigen,50,0.000929801,MKL,highAI
eigen,100,0.006520332,MKL,highAI
cholesky,50,1.465e-5,MKL,highAI
cholesky,100,5.9091e-5,MKL,highAI
cholesky,500,0.001641941,MKL,highAI
