f,size,time,BLAS,pinning
svd,10,2.421e-5,OpenBLAS,highMB
svd,50,0.000613998,OpenBLAS,highMB
svd,100,0.002238839,OpenBLAS,highMB
*,50,9.66e-6,OpenBLAS,highMB
*,100,0.000107351,OpenBLAS,highMB
*,500,0.009432478,OpenBLAS,highMB
eigen,10,2.547e-5,OpenBLAS,highMB
eigen,50,0.000672048,OpenBLAS,highMB
eigen,100,0.0056029,OpenBLAS,highMB
cholesky,50,1.797e-5,OpenBLAS,highMB
cholesky,100,6.9751e-5,OpenBLAS,highMB
cholesky,500,0.001885664,OpenBLAS,highMB
svd,10,1.645e-5,MKL,highMB
svd,50,0.000669769,MKL,highMB
svd,100,0.001844073,MKL,highMB
*,50,2.965e-5,MKL,highMB
*,100,7.7421e-5,MKL,highMB
*,500,0.00084776,MKL,highMB
eigen,10,2.4271e-5,MKL,highMB
eigen,50,0.00078762,MKL,highMB
eigen,100,0.007409593,MKL,highMB
cholesky,50,1.996e-5,MKL,highMB
cholesky,100,5.8751e-5,MKL,highMB
cholesky,500,0.00165225,MKL,highMB
